id,sarea,station,address,total,lng,lat
1,信義區,捷運市政府站(3號出口),忠孝東路/松仁路(東南側),180,121.5679016,25.04085732
2,大安區,捷運國父紀念館站(2號出口),忠孝東路四段/光復南路口(西南側),48,121.5569458,25.04100037
3,信義區,台北市政府,台北市政府東門(松智路) ,40,121.5651703,25.03779793
4,信義區,市民廣場,市府路/松壽路(西北側) ,60,121.5623245,25.03603554
5,信義區,興雅國中,松仁路/松仁路95巷(東南側),60,121.5686646,25.03656387
6,信義區,世貿二館,松智路/松廉路(東北側) ,80,121.5656586,25.03473663
7,信義區,信義廣場(台北101),松智路/信義路(東北側) ,80,121.5656204,25.03303909
8,信義區,世貿三館,市府路/松壽路(東南側) ,60,121.5636902,25.03521347
9,信義區,松德站,台北市信義區松德路300號,40,121.5743561,25.03158951
10,信義區,台北市災害應變中心,台北市信義區莊敬路391巷11弄2號,54,121.5661163,25.02866173
11,信義區,三張犁,光復南路/基隆路一段364巷,26,121.5576172,25.0349369
12,信義區,臺北醫學大學,台北醫學大學(吳興街220巷59弄),34,121.5617447,25.02667809
13,信義區,福德公園,大道路/福德街路口北西側,66,121.5836716,25.03808975
14,中山區,榮星花園,五常街/龍江路口(西南側),32,121.5403671,25.0642395
15,松山區,饒河夜市,八德路/松信路(西南側),60,121.5718842,25.04984474
16,信義區,松山家商,林口街/福德街(南東側),48,121.5791321,25.03608322
17,松山區,民生光復路口,光復北路/民生東路(西北側),34,121.5550385,25.0583992
18,松山區,社教館,八德路三段25號前,38,121.5522766,25.04826736
19,信義區,中強公園,松仁路153巷17號對面,30,121.569809,25.0286293
20,大安區,捷運科技大樓站,科技大樓站對面(復興南路2段西側),56,121.5432968,25.02589607
21,松山區,民生敦化路口,敦化民生路口公車站旁,66,121.5489807,25.05798531
22,松山區,松山車站,松山車站西出口外自行車格內,44,121.5780945,25.04861641
23,南港區,東新國小,東新國小側門(東明街62號前),32,121.6027985,25.05507469
24,大安區,信義建國路口,信義路三段/建國南路二段(西南側),46,121.5373306,25.03298187
25,信義區,永吉松信路口,松信路/永吉路南西側人行道,30,121.572052,25.04542923
26,南港區,捷運昆陽站(1號出口),捷運昆陽站1號出口外停車場旁,42,121.5923767,25.05014229
27,南港區,捷運南港展覽館站(5號出口),研究院路/市民大道(東北側),26,121.6166916,25.05468941
28,信義區,五常公園,松隆路/虎林街30巷口(西南側),36,121.5746689,25.04813957
29,大安區,金山愛國路口,愛國東路/金山南路(西南側),54,121.5265503,25.0316391
30,大安區,基隆長興路口,基隆路/長興街(東南側),40,121.5443497,25.0170536
31,大安區,辛亥新生路口,辛亥路/新生南路(高架橋下),30,121.5345612,25.02241325
32,大安區,捷運六張犁站,捷運出口外和平東路側,30,121.5531616,25.02388382
33,松山區,中崙高中,八德路四段91巷(中崙高中)旁,46,121.5608673,25.04878044
34,中山區,捷運行天宮站(1號出口),捷運行天宮1號出口後方(松江路側),32,121.5329361,25.05836868
35,中山區,捷運行天宮站(3號出口),捷運行天宮站3號出口站外,30,121.5333023,25.05997849
36,大安區,臺大資訊大樓,辛亥路二段(臺大外語學院外),32,121.5415268,25.02100945
37,大安區,捷運東門站(4號出口),信義路/麗水街口,46,121.5291672,25.03370094
